Task	Typ of Try	FT/ST	Begin launch	Num Try	Num CibleA	Num CibleB	Pos CibleA	Pos CibleB	%RecA_>_B	Target Choice	Good Choice	Reward	Num error	 E0	E10	E20	E30	E100	E40	E15	E25	E35	E45	E55	E105	E115	E200	E250	E251	E252	E253	E254	E255
2	Exec_Auto	0	1132056	0	0	1	3	1	1	A	1	1	0	784185	0	0	0	0	0	784192	784251	784899	785495	786121	787215	0	787456	0	0	0	0	0	0	
2	Exec_Auto	0	1132056	1	0	1	1	0	1	A	1	0	0	784185	0	0	0	0	0	793457	793527	794910	795384	795912	796840	0	797081	0	0	0	0	0	0	
2	Exec_Auto	0	1132056	2	0	1	1	2	1	A	1	1	0	784185	0	0	0	0	0	803081	803132	803686	804139	804592	805343	0	805584	0	0	0	0	0	0	
2	Exec_Auto	0	1132056	3	1	0	0	1	0	B	1	1	0	784185	0	0	0	0	0	811585	811650	813141	813582	814063	815517	0	815758	0	0	0	0	0	0	
2	Exec_Auto	0	1132056	4	0	1	3	0	1	A	1	1	0	784185	0	0	0	0	0	821759	821817	823217	823757	824401	825211	0	825452	0	0	0	0	0	0	
2	Exec_Auto	0	1132056	5	1	0	0	2	0	B	1	1	0	784185	0	0	0	0	0	831452	831502	832982	833433	833941	835132	0	835373	0	0	0	0	0	0	
2	Exec_Auto	0	1132056	6	1	0	2	1	0	B	1	1	0	784185	0	0	0	0	0	841374	841462	842752	843186	843680	844928	0	845169	0	0	0	0	0	0	
2	Exec_Auto	0	1132056	7	1	0	3	1	0	B	1	1	0	784185	0	0	0	0	0	851171	851241	852612	853039	853482	854565	0	854806	0	0	0	0	0	0	
2	Exec_Auto	0	1132056	8	0	1	2	0	1	A	1	0	0	784185	0	0	0	0	0	860808	860871	861823	862303	862908	864100	0	864342	0	0	0	0	0	0	
2	Exec_Auto	0	1132056	9	1	0	3	0	0	B	1	0	0	784185	0	0	0	0	0	870342	870397	870971	871422	871999	872657	0	872898	0	0	0	0	0	0	
2	Exec_Auto	1	1132056	10	1	0	1	0	0	A	0	0	0	784185	0	0	0	0	0	878898	878954	879602	880301	880799	0	881893	882134	0	0	0	0	0	0	
2	Exec_Auto	1	1132056	11	0	1	1	3	1	B	0	0	0	784185	0	0	0	0	0	888134	888207	889590	890233	890803	0	891731	891972	0	0	0	0	0	0	
2	Exec_Auto	1	1132056	12	1	0	3	0	0	A	0	0	0	784185	0	0	0	0	0	897973	898024	898578	899354	899876	0	900627	900868	0	0	0	0	0	0	
2	Exec_Auto	1	1132056	13	0	1	0	1	1	B	0	0	0	784185	0	0	0	0	0	906868	906907	908398	908920	909396	0	910851	911091	0	0	0	0	0	0	
2	Exec_Auto	1	1132056	14	0	1	1	0	1	A	1	1	0	784185	0	0	0	0	0	917091	917164	918564	919141	919578	920388	0	920628	0	0	0	0	0	0	
2	Exec_Auto	1	1132056	15	1	0	2	0	0	B	1	0	0	784185	0	0	0	0	0	926629	926700	928180	928763	929445	930636	0	930877	0	0	0	0	0	0	
2	Exec_Auto	1	1132056	16	0	1	1	0	1	A	1	1	0	784185	0	0	0	0	0	936878	936973	938263	938828	939395	940643	0	940884	0	0	0	0	0	0	
2	Exec_Auto	1	1132056	17	1	0	3	2	0	B	1	1	0	784185	0	0	0	0	0	946885	946955	948326	949003	949549	950632	0	950873	0	0	0	0	0	0	
2	Exec_Auto	1	1132056	18	0	1	3	2	1	A	1	1	0	784185	0	0	0	0	0	956874	956928	957880	958436	958983	960175	0	960415	0	0	0	0	0	0	
2	Exec_Auto	1	1132056	19	1	0	1	3	0	B	1	0	0	784185	0	0	0	0	0	966416	966444	967018	967466	968215	968873	0	969113	0	0	0	0	0	0	
2	Exec_Auto	0	1132056	0	0	1	3	1	1	A	1	1	0	975114	0	0	0	0	0	975188	975262	976064	976575	976991	978428	0	978669	0	0	0	0	0	0	
