Task	Typ of Try	FT/ST	Begin launch	Num Try	Num CibleA	Num CibleB	Pos CibleA	Pos CibleB	%RecA_>_B	Target Choice	Good Choice	Reward	Num error	 E0	E10	E20	E30	E100	E40	E15	E25	E35	E45	E55	E105	E115	E200	E250	E251	E252	E253	E254	E255
2	Exec_Auto	0	19819557	0	0	1	2	1	1	A	1	1	0	956205	0	0	0	0	0	956211	956271	957071	957741	958340	959630	0	959950	0	0	0	0	0	0	
2	Exec_Auto	0	19819557	1	1	0	2	0	0	B	1	1	0	956205	0	0	0	0	0	965950	965999	966619	967092	967575	968581	0	968903	0	0	0	0	0	0	
2	Exec_Auto	0	19819557	2	0	1	1	2	1	A	1	0	0	956205	0	0	0	0	0	974903	974977	976158	976654	977121	978416	0	978737	0	0	0	0	0	0	
2	Exec_Auto	0	19819557	3	1	0	2	1	0	B	1	1	0	956205	0	0	0	0	0	984738	984805	986137	986627	987091	988045	0	988366	0	0	0	0	0	0	
2	Exec_Auto	0	19819557	4	1	0	2	3	0	B	1	0	0	956205	0	0	0	0	0	994367	994434	995804	996330	996722	997489	0	997810	0	0	0	0	0	0	
2	Exec_Auto	0	19819557	5	1	0	2	1	0	B	1	1	0	956205	0	0	0	0	0	1003811	1003853	1004577	1005080	1005519	1006695	0	1007016	0	0	0	0	0	0	
2	Exec_Auto	0	19819557	6	1	0	3	0	0	B	1	1	0	956205	0	0	0	0	0	1013017	1013094	1014449	1015064	1015480	1016975	0	1017296	0	0	0	0	0	0	
2	Exec_Auto	0	19819557	7	0	1	0	3	1	A	1	0	0	956205	0	0	0	0	0	1023296	1023361	1024505	1024992	1025402	1026654	0	1026975	0	0	0	0	0	0	
2	Exec_Auto	0	19819557	8	0	1	2	0	1	A	1	1	0	956205	0	0	0	0	0	1032976	1033059	1033815	1034333	1034793	1035640	0	1035961	0	0	0	0	0	0	
2	Exec_Auto	0	19819557	9	1	0	3	1	0	B	1	1	0	956205	0	0	0	0	0	1041961	1042051	1043081	1043637	1043989	1045105	0	1045426	0	0	0	0	0	0	
2	Exec_Auto	1	19819557	10	1	0	1	3	0	A	0	0	0	956205	0	0	0	0	0	1051426	1051486	1052286	1052985	1053385	0	1054675	1054995	0	0	0	0	0	0	
2	Exec_Auto	1	19819557	11	0	1	0	2	1	A	1	1	0	956205	0	0	0	0	0	1060996	1061041	1061661	1062268	1062776	1063782	0	1064102	0	0	0	0	0	0	
2	Exec_Auto	1	19819557	12	1	0	3	0	0	B	1	0	0	956205	0	0	0	0	0	1070103	1070178	1071359	1072018	1072408	1073703	0	1074024	0	0	0	0	0	0	
2	Exec_Auto	1	19819557	13	0	1	0	1	1	B	0	1	0	956205	0	0	0	0	0	1080024	1080093	1081425	1081956	1082423	0	1083377	1083698	0	0	0	0	0	0	
2	Exec_Auto	1	19819557	14	0	1	1	3	1	B	0	0	0	956205	0	0	0	0	0	1089700	1089756	1091126	1091761	1092265	0	1093032	1093352	0	0	0	0	0	0	
2	Exec_Auto	1	19819557	15	1	0	3	1	0	B	1	1	0	956205	0	0	0	0	0	1099353	1099411	1100135	1100689	1101147	1102323	0	1102643	0	0	0	0	0	0	
2	Exec_Auto	1	19819557	16	1	0	1	3	0	A	0	0	0	956205	0	0	0	0	0	1108643	1108698	1110053	1110527	1110941	0	1112436	1112757	0	0	0	0	0	0	
2	Exec_Auto	1	19819557	17	0	1	3	2	1	B	0	0	0	956205	0	0	0	0	0	1118757	1118799	1119943	1120552	1121016	0	1122268	1122589	0	0	0	0	0	0	
2	Exec_Auto	1	19819557	18	1	0	0	3	0	B	1	0	0	956205	0	0	0	0	0	1128589	1128655	1129411	1130025	1130370	1131217	0	1131538	0	0	0	0	0	0	
2	Exec_Auto	1	19819557	19	0	1	0	1	1	B	0	0	0	956205	0	0	0	0	0	1137538	1137590	1138620	1139221	1139622	0	1140738	1141058	0	0	0	0	0	0	
2	Exec_Auto	0	19819557	0	1	0	2	0	0	B	1	0	0	1179064	0	0	0	0	0	1179071	1179182	1179912	1180568	1181027	1181876	0	1182199	0	0	0	0	0	0	
