Task	Typ of Try	FT/ST	Begin launch	Num Try	Num CibleA	Num CibleB	Pos CibleA	Pos CibleB	RecA__B	Target Choice	Good Choice	Reward	Num error	 E0	E10	E20	E30	E100	E40	E15	E25	E35	E45	E55	E105	E115	E200	E250	E251	E252	E253	E254	E255
2	Exec_Auto	0	22129112	0	0	1	1	0	1	A	1	1	0	1408	0	0	0	0	0	1415	1514	2519	2588	2999	3499	0	3739	0	0	0	0	0	0
2	Exec_Auto	0	22129112	1	1	0	3	1	0	B	1	1	0	1408	0	0	0	0	0	5739	5813	6790	7199	7323	7823	0	8063	0	0	0	0	0	0
2	Exec_Auto	0	22129112	2	1	0	2	1	0	B	1	1	0	1408	0	0	0	0	0	10063	10153	10813	11187	11279	11779	0	12019	0	0	0	0	0	0
2	Exec_Auto	0	22129112	3	0	1	1	3	1	A	1	0	252	1408	0	0	0	0	0	14019	14093	15027	15396	15508	0	0	19175	0	0	15975	0	0	0
2	Exec_Auto	0	22129112	3	0	1	1	3	1		1	0	255	1408	0	0	0	0	0	21176	21235	0	0	0	0	0	22902	0	0	0	0	0	21402
2	Exec_Auto	0	22129112	3	0	1	1	3	1	A	1	0	252	1408	0	0	0	0	0	24902	24951	25885	26211	26348	0	0	29964	0	0	26764	0	0	0
2	Exec_Auto	0	22129112	3	0	1	1	3	1		1	0	255	1408	0	0	0	0	0	31964	32024	0	0	0	0	0	33566	0	0	0	0	0	32066
2	Exec_Auto	0	22129112	3	0	1	1	3	1	A	1	0	252	1408	0	0	0	0	0	35567	35648	36582	36908	37020	0	0	40595	0	0	37395	0	0	0
2	Exec_Auto	0	22129112	3	0	1	1	3	1	A	1	0	252	1408	0	0	0	0	0	42595	42645	43579	43996	44085	0	0	47658	0	0	44458	0	0	0
2	Exec_Auto	0	22129112	3	0	1	1	3	1		1	0	255	1408	0	0	0	0	0	49659	49724	0	0	0	0	0	51270	0	0	0	0	0	49770
2	Exec_Auto	0	22129112	3	0	1	1	3	1	A	1	0	252	1408	0	0	0	0	0	53272	53297	54231	54571	54659	0	0	58160	0	0	54960	0	0	0
2	Exec_Auto	0	22129112	3	0	1	1	3	1	A	1	0	252	1408	0	0	0	0	0	60160	60189	61123	61524	61651	0	0	65049	0	0	61849	0	0	0
2	Exec_Auto	0	22129112	3	0	1	1	3	1	A	1	0	252	1408	0	0	0	0	0	67049	67143	68077	68478	68604	0	0	71966	0	0	68766	0	0	0
2	Exec_Auto	0	22129112	3	0	1	1	3	1	A	1	0	0	1408	0	0	0	0	0	73966	73994	74928	75386	75477	75977	0	76218	0	0	0	0	0	0
2	Exec_Auto	0	22129112	4	1	0	2	3	0	B	1	0	0	1408	0	0	0	0	0	78219	78272	78971	79365	79466	79966	0	80207	0	0	0	0	0	0
2	Exec_Auto	0	22129112	5	0	1	1	0	1	A	1	0	252	1408	0	0	0	0	0	82208	82275	83660	84031	84158	0	0	87458	0	0	84258	0	0	0
2	Exec_Auto	0	22129112	5	0	1	1	0	1	A	1	0	252	1408	0	0	0	0	0	89458	89530	90915	91305	91433	0	0	94648	0	0	91448	0	0	0
2	Exec_Auto	0	22129112	5	0	1	1	0	1	A	1	0	252	1408	0	0	0	0	0	96648	96721	98106	98536	98661	0	0	101911	0	0	98711	0	0	0
