Task	Typ of Try	FT/ST	Begin launch	Num Try	Num CibleA	Num CibleB	Pos CibleA	Pos CibleB	%RecA_>_B	Target Choice	Good Choice	Reward	Num error	 E0	E10	E20	E30	E100	E40	E15	E25	E35	E45	E55	E105	E115	E200	E250	E251	E252	E253	E254	E255
2	Exec_Auto	0	27064886	0	0	1	3	0	1	A	1	1	0	12613	0	0	0	0	0	12620	12701	13411	13864	13968	14468	0	14708	0	0	0	0	0	0	
2	Exec_Auto	0	27064886	1	1	0	2	1	0	B	1	1	0	12613	0	0	0	0	0	16709	16751	17265	17710	17789	18289	0	18529	0	0	0	0	0	0	
2	Exec_Auto	0	27064886	2	1	0	1	2	0	B	1	1	0	12613	0	0	0	0	0	20529	20582	21452	21909	22006	22506	0	22747	0	0	0	0	0	0	
2	Exec_Auto	0	27064886	3	0	1	0	1	1	A	1	1	0	12613	0	0	0	0	0	24748	24823	25666	26072	26127	26627	0	26868	0	0	0	0	0	0	
2	Exec_Auto	0	27064886	4	0	1	2	0	1	A	1	0	0	12613	0	0	0	0	0	28868	28917	29882	30262	30364	30864	0	31104	0	0	0	0	0	0	
2	Exec_Auto	0	27064886	5	0	1	0	1	1	A	1	1	0	12613	0	0	0	0	0	33104	33135	34561	34928	35010	35510	0	35750	0	0	0	0	0	0	
2	Exec_Auto	0	27064886	6	0	1	2	1	1	A	1	1	0	12613	0	0	0	0	0	37750	37803	39245	39647	39702	40202	0	40443	0	0	0	0	0	0	
2	Exec_Auto	0	27064886	7	0	1	1	3	1	A	1	1	0	12613	0	0	0	0	0	42444	42510	43301	43712	43891	44391	0	44631	0	0	0	0	0	0	
2	Exec_Auto	0	27064886	8	1	0	3	0	0	B	1	1	0	12613	0	0	0	0	0	46633	46696	47689	48145	48240	48740	0	48981	0	0	0	0	0	0	
2	Exec_Auto	0	27064886	9	0	1	0	3	1	A	1	1	0	12613	0	0	0	0	0	50981	51098	52518	52909	52993	53493	0	53734	0	0	0	0	0	0	
2	Exec_Auto	1	27064886	10	1	0	3	1	0	B	1	1	0	12613	0	0	0	0	0	55735	55789	56499	57163	57360	57860	0	58101	0	0	0	0	0	0	
2	Exec_Auto	1	27064886	11	1	0	3	0	0	B	1	1	0	12613	0	0	0	0	0	60102	60143	60657	61238	61307	61807	0	62047	0	0	0	0	0	0	
2	Exec_Auto	1	27064886	12	0	1	2	1	1	B	0	0	0	12613	0	0	0	0	0	64048	64080	64950	65439	65655	0	66155	66395	0	0	0	0	0	0	
2	Exec_Auto	1	27064886	13	1	0	2	0	0	A	0	0	0	12613	0	0	0	0	0	68395	68439	69282	69872	70004	0	70504	70744	0	0	0	0	0	0	
2	Exec_Auto	1	27064886	14	1	0	3	2	0		0	0	251	12613	0	0	0	0	0	72745	72818	73783	74304	74401	0	0	78102	0	74901	0	0	0	0	
2	Exec_Auto	1	27064886	14	1	0	3	2	0	B	1	0	0	12613	0	0	0	0	0	80102	80148	81113	81578	81658	82158	0	82399	0	0	0	0	0	0	
2	Exec_Auto	1	27064886	15	0	1	1	0	1	A	1	0	0	12613	0	0	0	0	0	84399	84454	85880	86288	86418	86918	0	87159	0	0	0	0	0	0	
2	Exec_Auto	1	27064886	16	0	1	2	0	1	A	1	0	0	12613	0	0	0	0	0	89161	89189	90631	91185	91323	91823	0	92063	0	0	0	0	0	0	
2	Exec_Auto	1	27064886	17	1	0	1	3	0	A	0	0	0	12613	0	0	0	0	0	94063	94117	94908	95484	95576	0	96076	96316	0	0	0	0	0	0	
2	Exec_Auto	1	27064886	18	0	1	2	0	1	B	0	0	0	12613	0	0	0	0	0	98316	98349	99342	99782	99864	0	100364	100605	0	0	0	0	0	0	
2	Exec_Auto	1	27064886	19	1	0	0	1	0	B	1	1	0	12613	0	0	0	0	0	102606	102626	104046	104526	104628	105128	0	105368	0	0	0	0	0	0	
