Task	Typ of Try	FT/ST	Begin launch	Num Try	Num CibleA	Num CibleB	Pos CibleA	Pos CibleB	%RecA_>_B	Target Choice	Good Choice	Reward	Num error	 E0	E10	E20	E30	E100	E40	E15	E25	E35	E45	E55	E105	E115	E200	E250	E251	E252	E253	E254	E255
2	Exec_Auto	0	5391275	0	1	0	0	3	0	B	1	1	0	1218418	0	0	0	0	0	1218425	1218507	1219970	1220576	1220721	1221769	0	1222009	0	0	0	0	0	0	
2	Exec_Auto	0	5391275	1	0	1	2	3	1	A	1	0	0	1218418	0	0	0	0	0	1228010	1228081	1228785	1229281	1229698	1230597	0	1230837	0	0	0	0	0	0	
2	Exec_Auto	0	5391275	2	1	0	3	1	0	B	1	1	0	1218418	0	0	0	0	0	1236838	1236874	1237561	1238023	1238331	1239523	0	1239763	0	0	0	0	0	0	
2	Exec_Auto	0	5391275	3	0	1	2	1	1	A	1	1	0	1218418	0	0	0	0	0	1245764	1245835	1246824	1247259	1247552	1248564	0	1248807	0	0	0	0	0	0	
2	Exec_Auto	0	5391275	4	0	1	1	3	1	A	1	1	0	1218418	0	0	0	0	0	1254807	1254897	1255946	1256454	1256680	1257219	0	1257460	0	0	0	0	0	0	
2	Exec_Auto	0	5391275	5	1	0	3	0	0	B	1	1	0	1218418	0	0	0	0	0	1263463	1263510	1264255	1264736	1264888	1265654	0	1265895	0	0	0	0	0	0	
2	Exec_Auto	0	5391275	6	0	1	1	3	1	A	1	1	0	1218418	0	0	0	0	0	1271895	1272632	1273475	1273886	1274009	1275446	0	1275687	0	0	0	0	0	0	
2	Exec_Auto	0	5391275	7	1	0	1	0	0	B	1	1	0	1218418	0	0	0	0	0	1281687	1281766	1283068	1283626	1283706	1284499	0	1284741	0	0	0	0	0	0	
2	Exec_Auto	0	5391275	8	1	0	0	2	0	B	1	1	0	1218418	0	0	0	0	0	1290741	1290791	1292038	1292507	1292687	1293994	0	1294234	0	0	0	0	0	0	
2	Exec_Auto	0	5391275	9	0	1	2	3	1	A	1	1	0	1218418	0	0	0	0	0	1300234	1300264	1300952	1301577	1301734	1303151	0	1303392	0	0	0	0	0	0	
2	Exec_Auto	1	5391275	10	1	0	0	2	0	A	0	0	0	1218418	0	0	0	0	0	1309393	1309454	1310917	1311827	1311890	0	1312938	1313178	0	0	0	0	0	0	
2	Exec_Auto	1	5391275	11	1	0	0	1	0	A	0	1	0	1218418	0	0	0	0	0	1319179	1319221	1319925	1320610	1320728	0	1321627	1321868	0	0	0	0	0	0	
2	Exec_Auto	1	5391275	12	1	0	0	1	0	A	0	1	0	1218418	0	0	0	0	0	1327869	1327918	1328605	1329306	1329437	0	1330629	1330869	0	0	0	0	0	0	
2	Exec_Auto	1	5391275	13	1	0	3	2	0	A	0	0	0	1218418	0	0	0	0	0	1336870	1336915	1337904	1338465	1338623	0	1339635	1339876	0	0	0	0	0	0	
2	Exec_Auto	1	5391275	14	1	0	0	3	0	A	0	0	0	1218418	0	0	0	0	0	1345877	1345915	1346964	1347615	1347723	0	1348262	1348502	0	0	0	0	0	0	
2	Exec_Auto	1	5391275	15	0	1	3	2	0	B	1	1	0	1218418	0	0	0	0	0	1354504	1354549	1355294	1356043	1356301	1357067	0	1357308	0	0	0	0	0	0	
2	Exec_Auto	1	5391275	16	1	0	2	3	0	A	0	0	0	1218418	0	0	0	0	0	1363308	1363370	1364213	1364789	1364949	0	1366386	1366627	0	0	0	0	0	0	
2	Exec_Auto	1	5391275	17	0	1	1	0	0	A	0	0	0	1218418	0	0	0	0	0	1372628	1372700	1374002	1374727	1374952	0	1375745	1375985	0	0	0	0	0	0	
2	Exec_Auto	1	5391275	18	1	0	3	1	0	B	1	0	252	1218418	0	0	0	0	0	1381986	1382026	1383273	1383822	1384057	0	0	1387273	0	0	1384073	0	0	0	
2	Exec_Auto	1	5391275	18	1	0	3	1	0	B	1	0	0	1218418	0	0	0	0	0	1393273	1393341	1394588	1395180	1395570	1396877	0	1397117	0	0	0	0	0	0	
