Task	Typ of Try	FT/ST	Begin launch	Num Try	Num CibleA	Num CibleB	Pos CibleA	Pos CibleB	%RecA_>_B	Target Choice	Good Choice	Reward	Num error	 E0	E10	E20	E30	E100	E40	E15	E25	E35	E45	E55	E105	E115	E200	E250	E251	E252	E253	E254	E255
2	Exec_Auto	0	17868881	0	1	0	0	1	0	B	1	0	0	18755	0	0	0	0	0	18764	18856	19984	20390	20750	21673	0	21913	0	0	0	0	0	0	
2	Exec_Auto	0	17868881	1	1	0	0	1	0	B	1	1	0	18755	0	0	0	0	0	27913	27951	28903	29306	29673	30677	0	30918	0	0	0	0	0	0	
2	Exec_Auto	0	17868881	2	1	0	3	0	0	B	1	1	0	18755	0	0	0	0	0	36918	36980	37903	38277	38568	39479	0	39719	0	0	0	0	0	0	
2	Exec_Auto	0	17868881	3	0	1	3	2	1	A	1	0	0	18755	0	0	0	0	0	45719	45785	47035	47425	47842	49333	0	49573	0	0	0	0	0	0	
2	Exec_Auto	0	17868881	4	0	1	3	0	1	A	1	1	0	18755	0	0	0	0	0	55573	55648	57027	57539	57882	59117	0	59357	0	0	0	0	0	0	
2	Exec_Auto	0	17868881	5	1	0	0	1	0	B	1	1	0	18755	0	0	0	0	0	65357	65406	66635	67065	67372	67894	0	68134	0	0	0	0	0	0	
2	Exec_Auto	0	17868881	6	0	1	0	3	1	A	1	0	0	18755	0	0	0	0	0	74134	74204	74898	75438	75652	76920	0	77161	0	0	0	0	0	0	
2	Exec_Auto	0	17868881	7	0	1	3	1	1	A	1	1	0	18755	0	0	0	0	0	83161	83211	84108	84535	84816	85669	0	85909	0	0	0	0	0	0	
2	Exec_Auto	0	17868881	8	1	0	1	3	0	B	1	1	0	18755	0	0	0	0	0	91910	91935	93221	93685	93989	94492	0	94732	0	0	0	0	0	0	
2	Exec_Auto	0	17868881	9	0	1	0	1	1	A	1	1	0	18755	0	0	0	0	0	100732	100803	101349	101792	102063	102927	0	103169	0	0	0	0	0	0	
2	Exec_Auto	1	17868881	10	1	0	0	3	0	B	1	1	0	18755	0	0	0	0	0	109169	109199	110327	110808	111153	112076	0	112316	0	0	0	0	0	0	
2	Exec_Auto	1	17868881	11	0	1	0	3	1	A	1	1	0	18755	0	0	0	0	0	118317	118386	119338	119816	120197	121201	0	121442	0	0	0	0	0	0	
2	Exec_Auto	1	17868881	12	1	0	1	3	0	A	0	0	0	18755	0	0	0	0	0	127442	127505	128428	128923	129313	0	130224	130466	0	0	0	0	0	0	
