Task	Typ of Try	FT/ST	Begin launch	Num Try	Num CibleA	Num CibleB	Pos CibleA	Pos CibleB	%RecA_>_B	Target Choice	Good Choice	Reward	Num error	 E0	E10	E20	E30	E100	E40	E15	E25	E35	E45	E55	E105	E115	E200	E250	E251	E252	E253	E254	E255
2	Exec_Auto	0	22233138	0	1	0	1	3	0		0	0	255	17305	0	0	0	0	0	17312	17411	0	0	0	0	0	19739	0	0	0	0	0	18239	
2	Exec_Auto	0	22233138	0	1	0	1	3	0	B	1	1	0	17305	0	0	0	0	0	25739	25946	26989	27433	27682	28686	0	28927	0	0	0	0	0	0	
2	Exec_Auto	0	22233138	1	1	0	0	2	0	B	1	1	0	17305	0	0	0	0	0	34927	35000	36430	36898	37059	37594	0	37834	0	0	0	0	0	0	
2	Exec_Auto	0	22233138	2	0	1	3	0	1	A	1	1	0	17305	0	0	0	0	0	43835	43899	45179	45585	45789	46858	0	47099	0	0	0	0	0	0	
2	Exec_Auto	0	22233138	3	0	1	1	3	1	A	1	0	0	17305	0	0	0	0	0	53099	53158	54147	54558	54754	55370	0	55610	0	0	0	0	0	0	
2	Exec_Auto	0	22233138	4	0	1	0	2	1	A	1	1	0	17305	0	0	0	0	0	61610	61660	62270	62708	62963	63553	0	63793	0	0	0	0	0	0	
2	Exec_Auto	0	22233138	5	0	1	2	0	1	A	1	0	0	17305	0	0	0	0	0	69793	69816	71122	71502	71736	72635	0	72875	0	0	0	0	0	0	
2	Exec_Auto	0	22233138	6	1	0	2	1	0	B	1	1	0	17305	0	0	0	0	0	78876	78930	79630	80020	80258	81235	0	81476	0	0	0	0	0	0	
2	Exec_Auto	0	22233138	7	1	0	2	3	0	B	1	1	0	17305	0	0	0	0	0	87477	87545	89030	89457	89649	90928	0	91169	0	0	0	0	0	0	
2	Exec_Auto	0	22233138	8	0	1	2	0	1	A	1	1	0	17305	0	0	0	0	0	97170	97191	98491	98935	99116	99684	0	99925	0	0	0	0	0	0	
2	Exec_Auto	0	22233138	9	0	1	0	3	1	A	1	0	0	17305	0	0	0	0	0	105926	105973	107338	107775	108030	109125	0	109366	0	0	0	0	0	0	
