Task	Typ of Try	FT/ST	Begin launch	Num Try	Num CibleA	Num CibleB	Pos CibleA	Pos CibleB	%RecA_>_B	Target Choice	Good Choice	Reward	Num error	 E0	E10	E20	E30	E100	E40	E15	E25	E35	E45	E55	E105	E115	E200	E250	E251	E252	E253	E254	E255
2	Exec_Auto	0	20425808	0	1	0	0	3	0	B	1	1	0	24691	0	0	0	0	0	24700	24793	25558	26016	26157	26657	0	26958	0	0	0	0	0	0	
2	Exec_Auto	0	20425808	1	0	1	1	0	1	A	1	1	0	24691	0	0	0	0	0	28958	29030	29614	30048	30149	30649	0	30950	0	0	0	0	0	0	
2	Exec_Auto	0	20425808	2	0	1	1	2	1	A	1	1	0	24691	0	0	0	0	0	32951	33050	33653	34039	34121	34621	0	34922	0	0	0	0	0	0	
2	Exec_Auto	0	20425808	3	1	0	2	3	0	B	1	1	0	24691	0	0	0	0	0	36923	36976	37756	38158	38220	38720	0	39020	0	0	0	0	0	0	
2	Exec_Auto	0	20425808	4	1	0	3	1	0	B	1	1	0	24691	0	0	0	0	0	41021	41086	41733	42081	42167	42667	0	42967	0	0	0	0	0	0	
2	Exec_Auto	0	20425808	5	0	1	1	2	1	A	1	0	0	24691	0	0	0	0	0	44968	45043	46434	46839	46913	47413	0	47713	0	0	0	0	0	0	
2	Exec_Auto	0	20425808	6	0	1	3	0	1	A	1	1	0	24691	0	0	0	0	0	49714	49783	50289	50735	50823	51323	0	51623	0	0	0	0	0	0	
2	Exec_Auto	0	20425808	7	0	1	1	3	1	A	1	0	0	24691	0	0	0	0	0	53625	53690	54743	55127	55226	55726	0	56027	0	0	0	0	0	0	
2	Exec_Auto	0	20425808	8	0	1	2	0	1	A	1	1	0	24691	0	0	0	0	0	58027	58095	59199	59613	59705	60205	0	60506	0	0	0	0	0	0	
2	Exec_Auto	0	20425808	9	0	1	3	0	1	A	1	1	0	24691	0	0	0	0	0	62507	62579	63467	63823	63890	64390	0	64692	0	0	0	0	0	0	
2	Exec_Auto	1	20425808	10	1	0	0	2	0	A	0	0	0	24691	0	0	0	0	0	66692	66742	67507	68124	68178	0	68678	68978	0	0	0	0	0	0	
2	Exec_Auto	1	20425808	11	0	1	0	1	1	B	0	1	0	24691	0	0	0	0	0	70979	71000	71584	71968	72053	0	72553	72854	0	0	0	0	0	0	
2	Exec_Auto	1	20425808	12	0	1	1	0	1	B	0	0	0	24691	0	0	0	0	0	74854	74903	75506	75957	76032	0	76532	76833	0	0	0	0	0	0	
2	Exec_Auto	1	20425808	13	0	1	2	0	1	B	0	0	0	24691	0	0	0	0	0	78833	78903	79683	80131	80192	0	80692	80992	0	0	0	0	0	0	
2	Exec_Auto	1	20425808	14	0	1	0	2	1	B	0	0	252	24691	0	0	0	0	0	82993	83065	83712	84200	84324	0	0	87541	0	0	84341	0	0	0	
2	Exec_Auto	1	20425808	14	0	1	0	2	1	A	1	1	0	24691	0	0	0	0	0	89541	89596	90243	90691	90747	91247	0	91547	0	0	0	0	0	0	
2	Exec_Auto	1	20425808	15	0	1	0	1	1	A	1	1	0	24691	0	0	0	0	0	93547	93614	95005	95393	95509	96009	0	96310	0	0	0	0	0	0	
2	Exec_Auto	1	20425808	16	1	0	3	1	0	B	1	1	0	24691	0	0	0	0	0	98311	98363	98869	99515	99590	100090	0	100391	0	0	0	0	0	0	
2	Exec_Auto	1	20425808	17	0	1	2	0	1	A	1	0	0	24691	0	0	0	0	0	102392	102452	103505	104048	104138	104638	0	104938	0	0	0	0	0	0	
2	Exec_Auto	1	20425808	18	1	0	1	3	0	B	1	0	0	24691	0	0	0	0	0	106939	107011	108116	108537	108814	109314	0	109614	0	0	0	0	0	0	
2	Exec_Auto	1	20425808	19	0	1	0	1	1	A	1	1	0	24691	0	0	0	0	0	111615	111689	112577	113015	113099	113599	0	113900	0	0	0	0	0	0	
2	Exec_Auto	0	20425808	0	0	1	2	1	1	A	1	1	0	115901	0	0	0	0	0	115936	116040	117301	117761	117869	118369	0	118669	0	0	0	0	0	0	
2	Exec_Auto	0	20425808	1	1	0	3	2	0	B	1	1	0	115901	0	0	0	0	0	120669	120724	121617	122118	122234	122734	0	123035	0	0	0	0	0	0	
2	Exec_Auto	0	20425808	2	0	1	2	0	1	A	1	1	0	115901	0	0	0	0	0	125036	125119	125631	126050	126203	126703	0	127004	0	0	0	0	0	0	
2	Exec_Auto	0	20425808	3	1	0	0	2	0	B	1	1	0	115901	0	0	0	0	0	129004	129035	130446	130851	130958	131458	0	131758	0	0	0	0	0	0	
2	Exec_Auto	0	20425808	4	0	1	2	1	1	A	1	1	0	115901	0	0	0	0	0	133759	133816	135035	135429	135497	135997	0	136297	0	0	0	0	0	0	
2	Exec_Auto	0	20425808	5	0	1	0	3	1	A	1	1	0	115901	0	0	0	0	0	138298	138357	139046	139462	139503	140003	0	140303	0	0	0	0	0	0	
2	Exec_Auto	0	20425808	6	0	1	2	1	1		0	0	252	115901	0	0	0	0	0	142304	142351	143140	143584	143872	0	0	147550	0	0	144350	0	0	0	
