Task	Typ of Try	FT/ST	Begin launch	Num Try	Num CibleA	Num CibleB	Pos CibleA	Pos CibleB	%RecA_>_B	Target Choice	Good Choice	Reward	Num error	 E0	E10	E20	E30	E100	E40	E15	E25	E35	E45	E55	E105	E115	E200	E250	E251	E252	E253	E254	E255
2	Exec_Auto	0	31873578	0	1	0	3	1	0	B	1	1	0	1859	0	0	0	0	0	1865	1922	2614	3193	3519	4019	0	4319	0	0	0	0	0	0	
2	Exec_Auto	0	31873578	1	1	0	3	2	0	B	1	1	0	1859	0	0	0	0	0	6320	6384	7382	7768	8052	8552	0	8852	0	0	0	0	0	0	
2	Exec_Auto	0	31873578	2	1	0	1	3	0	B	1	1	0	1859	0	0	0	0	0	10853	10878	12088	12484	12865	13365	0	13665	0	0	0	0	0	0	
2	Exec_Auto	0	31873578	3	0	1	1	2	1	A	1	1	0	1859	0	0	0	0	0	15666	15730	17076	17505	17803	18303	0	18604	0	0	0	0	0	0	
2	Exec_Auto	0	31873578	4	1	0	0	3	0	B	1	1	0	1859	0	0	0	0	0	20604	20668	21912	22312	22902	23402	0	23702	0	0	0	0	0	0	
2	Exec_Auto	0	31873578	5	1	0	1	0	0	B	1	1	0	1859	0	0	0	0	0	25704	25767	26400	26797	27099	27599	0	27899	0	0	0	0	0	0	
2	Exec_Auto	0	31873578	6	0	1	0	3	1	A	1	1	0	1859	0	0	0	0	0	29900	29964	31434	31827	32114	32614	0	32914	0	0	0	0	0	0	
2	Exec_Auto	0	31873578	7	1	0	1	0	0	B	1	1	0	1859	0	0	0	0	0	34915	34946	36191	36578	36850	37350	0	37652	0	0	0	0	0	0	
2	Exec_Auto	0	31873578	8	1	0	3	1	0	B	1	1	0	1859	0	0	0	0	0	39653	39716	40377	40831	41168	41668	0	41969	0	0	0	0	0	0	
2	Exec_Auto	0	31873578	9	1	0	3	0	0	B	1	1	0	1859	0	0	0	0	0	43969	44017	44641	45049	45317	45817	0	46118	0	0	0	0	0	0	
2	Exec_Auto	1	31873578	10	1	0	0	3	0	A	0	0	0	1859	0	0	0	0	0	48120	48181	48873	49392	49735	0	50235	50535	0	0	0	0	0	0	
2	Exec_Auto	1	31873578	11	1	0	1	3	0	B	1	1	0	1859	0	0	0	0	0	52535	52560	53558	54132	54848	55348	0	55648	0	0	0	0	0	0	
2	Exec_Auto	1	31873578	12	1	0	1	3	0	B	1	1	0	1859	0	0	0	0	0	57649	57693	58903	59484	60052	60552	0	60852	0	0	0	0	0	0	
2	Exec_Auto	1	31873578	13	0	1	0	3	1	A	1	0	0	1859	0	0	0	0	0	62853	62924	64270	64702	65084	65584	0	65885	0	0	0	0	0	0	
2	Exec_Auto	1	31873578	14	0	1	0	3	1	A	1	1	0	1859	0	0	0	0	0	67887	67911	69155	69722	70050	70550	0	70851	0	0	0	0	0	0	
2	Exec_Auto	1	31873578	15	1	0	3	1	0	A	0	0	0	1859	0	0	0	0	0	72851	72892	73525	74067	74447	0	74947	75249	0	0	0	0	0	0	
2	Exec_Auto	1	31873578	16	0	1	0	1	1	A	1	1	0	1859	0	0	0	0	0	77250	77311	78781	79229	79587	80087	0	80388	0	0	0	0	0	0	
2	Exec_Auto	1	31873578	17	1	0	2	1	0	A	0	0	0	1859	0	0	0	0	0	82389	82448	83693	84224	84768	0	85268	85568	0	0	0	0	0	0	
2	Exec_Auto	1	31873578	18	0	1	3	2	1	B	0	0	0	1859	0	0	0	0	0	87569	87643	88304	88980	89423	0	89923	90226	0	0	0	0	0	0	
2	Exec_Auto	1	31873578	19	0	1	1	0	1	B	0	0	0	1859	0	0	0	0	0	92227	92291	92915	93409	93783	0	94283	94584	0	0	0	0	0	0	
2	Exec_Auto	0	31873578	0	1	0	3	2	0	B	1	1	0	96585	0	0	0	0	0	96641	96704	98137	98537	98827	99327	0	99627	0	0	0	0	0	0	
2	Exec_Auto	0	31873578	1	0	1	2	3	1	A	1	1	0	96585	0	0	0	0	0	101628	101660	103104	103512	103910	104410	0	104710	0	0	0	0	0	0	
2	Exec_Auto	0	31873578	2	1	0	3	2	0	B	1	1	0	96585	0	0	0	0	0	106711	106748	107694	108088	108462	108962	0	109264	0	0	0	0	0	0	
2	Exec_Auto	0	31873578	3	1	0	1	3	0	B	1	1	0	96585	0	0	0	0	0	111265	111296	112084	112467	113081	113581	0	113882	0	0	0	0	0	0	
2	Exec_Auto	0	31873578	4	1	0	3	2	0	B	1	1	0	96585	0	0	0	0	0	115883	115921	116745	117127	117382	117882	0	118183	0	0	0	0	0	0	
2	Exec_Auto	0	31873578	5	0	1	3	1	1	A	1	1	0	96585	0	0	0	0	0	120184	120245	121392	121748	122173	122673	0	122973	0	0	0	0	0	0	
2	Exec_Auto	0	31873578	6	1	0	3	0	0	B	1	1	0	96585	0	0	0	0	0	124973	125036	126429	126821	127155	127655	0	127956	0	0	0	0	0	0	
2	Exec_Auto	0	31873578	7	0	1	0	3	1	A	1	1	0	96585	0	0	0	0	0	129957	130026	130734	131128	131411	131911	0	132212	0	0	0	0	0	0	
2	Exec_Auto	0	31873578	8	0	1	2	1	1	A	1	1	0	96585	0	0	0	0	0	134212	134245	134867	135251	135586	136086	0	136387	0	0	0	0	0	0	
2	Exec_Auto	0	31873578	9	0	1	1	3	1	A	1	1	0	96585	0	0	0	0	0	138389	138409	139202	139598	139966	140466	0	140766	0	0	0	0	0	0	
2	Exec_Auto	1	31873578	10	0	1	1	3	1	A	1	1	0	96585	0	0	0	0	0	142767	142809	144242	144816	145209	145709	0	146010	0	0	0	0	0	0	
2	Exec_Auto	1	31873578	11	1	0	1	0	0	B	1	1	0	96585	0	0	0	0	0	148010	148057	149501	149979	150354	150854	0	151154	0	0	0	0	0	0	
2	Exec_Auto	1	31873578	12	1	0	0	1	0	A	0	0	0	96585	0	0	0	0	0	153155	153219	154165	154607	154934	0	155434	155734	0	0	0	0	0	0	
2	Exec_Auto	1	31873578	13	1	0	3	0	0	B	1	1	0	96585	0	0	0	0	0	157735	157800	158588	159047	159344	159844	0	160144	0	0	0	0	0	0	
